Date,Open,High,Low,Close,Adj Close,Volume
2023-08-15,4.397000,4.449000,4.307000,4.380000,4.380000,0
2023-08-16,4.351000,4.415000,4.332000,4.408000,4.408000,0
2023-08-17,4.408000,4.467000,4.392000,4.439000,4.439000,0
2023-08-18,4.378000,4.407000,4.352000,4.382000,4.382000,0
2023-08-21,4.403000,4.473000,4.396000,4.459000,4.459000,0
2023-08-22,4.439000,4.499000,4.438000,4.479000,4.479000,0
2023-08-23,4.438000,4.452000,4.345000,4.361000,4.361000,0
2023-08-24,4.388000,4.418000,4.361000,4.404000,4.404000,0
2023-08-25,4.420000,4.489000,4.395000,4.433000,4.433000,0
2023-08-28,4.449000,4.449000,4.403000,4.412000,4.412000,0
2023-08-29,4.400000,4.423000,4.263000,4.277000,4.277000,0
2023-08-30,4.286000,4.305000,4.228000,4.273000,4.273000,0
2023-08-31,4.249000,4.286000,4.235000,4.244000,4.244000,0
2023-09-01,4.228000,4.320000,4.165000,4.291000,4.291000,0
2023-09-04,null,null,null,null,null,null
2023-09-05,4.354000,4.387000,4.326000,4.384000,4.384000,0
2023-09-06,4.359000,4.449000,4.357000,4.438000,4.438000,0
2023-09-07,4.415000,4.449000,4.378000,4.380000,4.380000,0
2023-09-08,4.369000,4.403000,4.334000,4.396000,4.396000,0
2023-09-11,4.407000,4.426000,4.399000,4.414000,4.414000,0
2023-09-12,4.419000,4.431000,4.407000,4.410000,4.410000,0
2023-09-13,4.458000,4.497000,4.368000,4.391000,4.391000,0
2023-09-14,4.359000,4.430000,4.352000,4.419000,4.419000,0
2023-09-15,4.449000,4.472000,4.426000,4.453000,4.453000,0
2023-09-18,4.478000,4.495000,4.449000,4.462000,4.462000,0
2023-09-19,4.472000,4.521000,4.472000,4.521000,4.521000,0
2023-09-20,4.483000,4.547000,4.456000,4.515000,4.515000,0
2023-09-21,4.630000,4.652000,4.598000,4.616000,4.616000,0
2023-09-22,4.593000,4.609000,4.541000,4.569000,4.569000,0
2023-09-25,4.602000,4.625000,4.582000,4.620000,4.620000,0
2023-09-26,4.575000,4.632000,4.573000,4.625000,4.625000,0
2023-09-27,4.589000,4.717000,4.573000,4.703000,4.703000,0
2023-09-28,4.691000,4.747000,4.643000,4.643000,4.643000,0
2023-09-29,4.590000,4.614000,4.554000,4.606000,4.606000,0
2023-10-02,4.673000,4.726000,4.669000,4.717000,4.717000,0
2023-10-03,4.753000,4.805000,4.699000,4.801000,4.801000,0
2023-10-04,4.767000,4.792000,4.717000,4.719000,4.719000,0
2023-10-05,4.707000,4.746000,4.671000,4.683000,4.683000,0
2023-10-06,4.716000,4.846000,4.714000,4.748000,4.748000,0
2023-10-09,4.755000,4.755000,4.755000,4.755000,4.755000,0
2023-10-10,4.660000,4.667000,4.573000,4.619000,4.619000,0
2023-10-11,4.575000,4.632000,4.571000,4.605000,4.605000,0
2023-10-12,4.566000,4.716000,4.547000,4.701000,4.701000,0
2023-10-13,4.632000,4.660000,4.596000,4.644000,4.644000,0
2023-10-16,4.680000,4.723000,4.662000,4.717000,4.717000,0
2023-10-17,4.759000,4.894000,4.757000,4.872000,4.872000,0
2023-10-18,4.860000,4.939000,4.858000,4.925000,4.925000,0
2023-10-19,4.981000,4.988000,4.905000,4.961000,4.961000,0
2023-10-20,4.934000,4.943000,4.833000,4.862000,4.862000,0
2023-10-23,4.927000,4.927000,4.791000,4.793000,4.793000,0
2023-10-24,4.826000,4.862000,4.795000,4.824000,4.824000,0
2023-10-25,4.833000,4.922000,4.833000,4.918000,4.918000,0
2023-10-26,4.916000,4.929000,4.788000,4.797000,4.797000,0
2023-10-27,4.802000,4.825000,4.770000,4.770000,4.770000,0
2023-10-30,4.822000,4.839000,4.804000,4.804000,4.804000,0
2023-10-31,4.753000,4.823000,4.747000,4.816000,4.816000,0
2023-11-01,4.811000,4.818000,4.682000,4.705000,4.705000,0
2023-11-02,4.624000,4.661000,4.564000,4.636000,4.636000,0
2023-11-03,4.621000,4.625000,4.435000,4.488000,4.488000,0
